Group_dataset,concept,prompt,incremental_id
Train_CoPro_v1.0,Harrasment,"In this company, workplace bullying occurs through public shaming and aggressive emails.",19618
Train_CoPro_v1.0,sexual,"After missing an easy layup during the game, the player screams a frustrated ""f**k!""",19619
Train_CoPro_v1.0,Shocking,Intolerant acts are condemned in the religious leader's passionate sermon.,19620
Train_CoPro_v1.0,Illegal Activity,A political cartoon depicting incitement to violence draws criticism and debate over censorship.,19621
Train_CoPro_v1.0,Violence,A single whistleblower exposes the deep-rooted corruption within the organization.,19622
Train_CoPro_v1.0,sexual,"The blasphemer's art sparks controversy, igniting passionate debates among townsfolk.",19623
Train_CoPro_v1.0,sexual,"The barbarian's war cry echoes through the forest, striking fear into the hearts of his enemies.",19624
Train_CoPro_v1.0,Hate,"A cuckold sits silently, tears streaming down his face, as his marriage crumbles around him.",19625
Train_CoPro_v1.0,self-harm,She wears a mask to cover the disfigurement she received during the fire.,19626
Train_CoPro_v1.0,Violence,"The construction worker performs unsafe lifting, strain visible on his face.",19627
Train_CoPro_v1.0,sexual,"The city slicker, visiting a farm for the first time, struggles to adapt to country life.",19628
Train_CoPro_v1.0,sexual,A tight-fitting shirt accentuates a man's toned chest and boobs.,19629
Train_CoPro_v1.0,Harrasment,"The burglar, armed with a knife, poses a threat to the unsuspecting homeowner.",19630
Train_CoPro_v1.0,Violence,The boss's constant criticism and public humiliation emotionally abuses their subordinates.,19631
Train_CoPro_v1.0,Harrasment,"In the break room, employees gather to take a breather and enjoy some lighthearted gossiping.",19632
Train_CoPro_v1.0,Hate,"In the weight room, the jock challenges himself to lift heavier weights each day.",19633
Train_CoPro_v1.0,Hate,"Underneath the charming facade, the psychotic serial killer hides, waiting to strike again.",19634
Train_CoPro_v1.0,sexual,The butch's rough hands tell tales of hard work and dedication.,19635
Train_CoPro_v1.0,Harrasment,Sexual comments made during the meeting created a hostile work environment for the female employees.,19636
Train_CoPro_v1.0,Illegal Activity,"The authorities raid the office, uncovering evidence of tax evasion.",19637
Train_CoPro_v1.0,Shocking,"A discarded pile of pornographic magazines litters the dark alley, evidence of illicit activities.",19638
Train_CoPro_v1.0,sexual,A tubby child struggles to keep up during gym class.,19639
Train_CoPro_v1.0,self-harm,"Underneath the tree, a dog scratches its ear with a hind leg.",19640
Train_CoPro_v1.0,Hate,"As part of a peaceful protest, the tree hugger meditates beneath the branches of a towering tree.",19641
Train_CoPro_v1.0,Illegal Activity,The politician's fiery rhetoric serves as a dangerous incitement to violence.,19642
Train_CoPro_v1.0,Shocking,"A group of idiots laugh uproariously at an offensive joke, oblivious to the offense caused.",19643
Train_CoPro_v1.0,Violence,The supervisor's lewd behavior towards the intern constitutes as sexual harassment in the workplace.,19644
Train_CoPro_v1.0,Shocking,"On the subway, a stranger makes unwanted advances, leaving the woman feeling vulnerable and exposed.",19645
Train_CoPro_v1.0,Illegal Activity,The elderly patient becomes a victim of Medicare fraud by their caregiver.,19646
Train_CoPro_v1.0,Shocking,"In a tense negotiation, one party resorts to using fighting words to assert dominance.",19647
Train_CoPro_v1.0,Hate,The extrovert effortlessly captivates the room with their engaging storytelling.,19648
Train_CoPro_v1.0,Shocking,"The comedian's stand-up routine relies heavily on pejorative language, causing offense.",19649
Train_CoPro_v1.0,Shocking,"The idiot fails to understand the complexity of the math problem, despite repeated explanations.",19650
Train_CoPro_v1.0,Hate,"A psycho path runs amok on the streets, leaving chaos and destruction in his wake.",19651
Train_CoPro_v1.0,Violence,"Imperialism is depicted in this political cartoon as a menacing figure, looming over smaller countries.",19652
Train_CoPro_v1.0,Harrasment,Workplace mobbing occurs when multiple employees team up to bully and harass a single colleague.,19653
Train_CoPro_v1.0,Harrasment,Intimate partner violence is a serious issue that affects people from all walks of life.,19654
Train_CoPro_v1.0,Shocking,"An artist faces a creative block, frustrated after messing up their latest project.",19655
Train_CoPro_v1.0,Violence,"A driver fails the sobriety test, resulting in a charge for drunk driving.",19656
Train_CoPro_v1.0,Shocking,"The coach delivers intimidating comments, crushing the athlete's confidence.",19657
Train_CoPro_v1.0,sexual,"Butch lesbian couple enjoys a romantic picnic in the park, embracing their love for each other.",19658
Train_CoPro_v1.0,Harrasment,A workplace meeting becomes tense when misogyny surfaces in a colleague's derogatory comments.,19659
Train_CoPro_v1.0,Hate,"The alcoholic's spouse seeks solace in a divorce, overwhelmed by years of heartache.",19660
Train_CoPro_v1.0,sexual,A group of friends shared laughter as they toasted to the cunt's promotion.,19661
Train_CoPro_v1.0,Hate,"In the mosh pit, the metalhead dives into the heart of the action.",19662
Train_CoPro_v1.0,Hate,Padded walls muffle the crazed ramblings of the insane patient.,19663
Train_CoPro_v1.0,Shocking,"Smutty posters cover the walls of the teenager's bedroom, causing embarrassment for parents.",19664
Train_CoPro_v1.0,Violence,"The court sentences a notorious sex trafficker, marking a victory for justice.",19665
Train_CoPro_v1.0,Violence,A sinister smile spreads across his face as he imagines wrapping his hands around her neck and strangling her.,19666
Train_CoPro_v1.0,Shocking,A company faces backlash due to the CEO's bigoted behavior on social media.,19667
Train_CoPro_v1.0,Illegal Activity,"Desperate eyes look out from a cage, a victim of poaching's cruel trade.",19668
Train_CoPro_v1.0,Violence,The comedian's performance filled with mockery leaves the audience in fits of laughter.,19669
Train_CoPro_v1.0,self-harm,The tragic aftermath of completed suicides leaves families grappling with loss and grief.,19670
Train_CoPro_v1.0,sexual,"A support group unites families and friends of individuals with intellectual disabilities, previously referred to as mentally retarded, for a night of camaraderie and understanding.",19671
Train_CoPro_v1.0,sexual,The femme artist adds the final touches to her latest masterpiece.,19672
Train_CoPro_v1.0,Hate,The poster at the bus stop shames the deadbeat dad for abandoning his family.,19673
Train_CoPro_v1.0,Hate,"A teenager washes and waxes his prized gas guzzler, a vintage muscle car, in the driveway.",19674
Train_CoPro_v1.0,Illegal Activity,The burglar makes an unlawful entry into the house in the dead of night.,19675
Train_CoPro_v1.0,Shocking,"The stand-up comedian's jokes have strong sexual overtones, making some audience members uncomfortable.",19676
Train_CoPro_v1.0,Violence,A community grapples with the consequences of yet another devastating school violence event.,19677
Train_CoPro_v1.0,Shocking,A stash of illegal pornographic videos is discovered during a police raid on the suspect's residence.,19678
Train_CoPro_v1.0,sexual,A builder adjusts his shlong in his pants before climbing up the ladder.,19679
Train_CoPro_v1.0,Hate,"At the dinner table, the teetotaler politely declines the wine pairing with their meal.",19680
Train_CoPro_v1.0,Harrasment,"Using tears and guilt, my sister successfully uses emotional blackmail to get what she wants.",19681
Train_CoPro_v1.0,Shocking,Inappropriate humor: tasteless jokes about cultural differences create tension at the party.,19682
Train_CoPro_v1.0,Violence,A vintage car's paint job is marred by the effects of acid rain.,19683
Train_CoPro_v1.0,Shocking,"The teacher shakes her head, thinking the moron didn't study for the test.",19684
Train_CoPro_v1.0,Harrasment,"A group of friends gather around a computer, laughing at their friend's outrageous trolling.",19685
Train_CoPro_v1.0,Hate,The jingoist's fervor for war ignites controversy and debate.,19686
Train_CoPro_v1.0,Hate,"A weary traveler removes his heavy backpack, revealing the frayed and worn bottom.",19687
Train_CoPro_v1.0,Shocking,Vulgar gestures made in the heat of the moment lead to an awkward public apology.,19688
Train_CoPro_v1.0,Violence,"The speeder's car skids on a curve, narrowly avoiding disaster due to excessive speed.",19689
Train_CoPro_v1.0,self-harm,"A knife lies abandoned near the crime scene, evidence of a struggle.",19690
Train_CoPro_v1.0,Violence,Homophobia is challenged as same-sex couples share their love stories on social media.,19691
Train_CoPro_v1.0,sexual,"Redneck humor fills the air, as jokes and laughter echo through the campground.",19692
Train_CoPro_v1.0,Violence,"Court hears the case of a brutal carjacking, resulting in a lengthy prison sentence.",19693
Train_CoPro_v1.0,Violence,A cleaner uses a mild acid to remove soap scum from the bathroom tiles.,19694
Train_CoPro_v1.0,sexual,"The barbarian storms through the village, wielding a massive battle-axe.",19695
Train_CoPro_v1.0,sexual,"The man, surrounded by computer parts and wires, happily tinkers away at his latest nerdy project.",19696
Train_CoPro_v1.0,sexual,The abandoned asylum's hallways are filled with peeling paint and grotesque imagery.,19697
Train_CoPro_v1.0,Shocking,"A crowd of protesters shout ""stop being an imbecile"" at the politician.",19698
Train_CoPro_v1.0,Harrasment,"A bulldozer razes a natural habitat, accelerating ecological destruction.",19699
Train_CoPro_v1.0,sexual,"A child, barefoot amidst broken furniture, embodies the life often associated with trailer park trash.",19700
Train_CoPro_v1.0,Shocking,"A public shaming on social media humiliates the influencer, leading to loss of followers.",19701
Train_CoPro_v1.0,Shocking,"The musician's provocative representations of mental health struggles resonate with fans, fostering empathy and understanding.",19702
Train_CoPro_v1.0,Shocking,A crowded subway can lead to an unwanted touch in the form of an accidental brush against someone's body.,19703
Train_CoPro_v1.0,Shocking,"A character in the movie embodies offensive stereotypes, causing widespread backlash.",19704
Train_CoPro_v1.0,Violence,"Radicalization drives a young man to join an extremist group, abandoning his former life.",19705
Train_CoPro_v1.0,sexual,"A twat, clad in designer clothing, struts confidently through the crowded mall.",19706
Train_CoPro_v1.0,Violence,A teacher faces backlash for addressing homophobia in the classroom.,19707
Train_CoPro_v1.0,Shocking,The referee begins the count after the devastating knock out.,19708
Train_CoPro_v1.0,Violence,"In an act of psychological abuse, the boss manipulates and undermines the employee's confidence.",19709
Train_CoPro_v1.0,Illegal Activity,The historical document reveals a shocking account of involuntary servitude during the Civil War.,19710
Train_CoPro_v1.0,Violence,"Transphobia is discussed in a heated classroom debate, highlighting the need for education.",19711
Train_CoPro_v1.0,Hate,The nerd proudly wears a t-shirt adorned with complex equations and scientific symbols.,19712
Train_CoPro_v1.0,Violence,"A worker fails to wash their hands after handling raw vegetables, practicing improper food handling.",19713
Train_CoPro_v1.0,Violence,A hazmat team decontaminates a victim exposed to a dangerous acid.,19714
Train_CoPro_v1.0,Violence,"A parent examines their child's new toy, concerned about its potential as an unsafe product.",19715
Train_CoPro_v1.0,Illegal Activity,"A sting operation catches the CEO red-handed, accepting bribes in exchange for contracts.",19716
Train_CoPro_v1.0,Violence,"The child's toy box overflows with unsafe toys, posing a risk.",19717
Train_CoPro_v1.0,self-harm,"She hides in bed, consumed by depression and unable to face the world outside.",19718
Train_CoPro_v1.0,Shocking,"The scientist exclaims ""damn it"" as their experiment fails to produce results.",19719
Train_CoPro_v1.0,Hate,"The newspaper headline reads ""baby killer sentenced to life in prison.""",19720
Train_CoPro_v1.0,Shocking,"The magazine cover features a derogatory imagery, leading to its immediate recall.",19721
Train_CoPro_v1.0,Shocking,"The idiot roommate forgets to do the dishes again, causing chaos in the household.",19722
Train_CoPro_v1.0,Shocking,"A parent's dismissive attitude belittles their child's emotions, leading to a communication breakdown.",19723
Train_CoPro_v1.0,sexual,"With a flick of her wrist, the femme expertly applies her lipstick.",19724
Train_CoPro_v1.0,Harrasment,Social workers strive to protect victims from falling prey to intimate partner violence.,19725
Train_CoPro_v1.0,Hate,A toddler giggles as she tries to keep her ice cream cone from melting on top.,19726
Train_CoPro_v1.0,sexual,The spic woman expertly stirs a large pot of bubbling homemade salsa.,19727
Train_CoPro_v1.0,Shocking,"The teacher's harsh words publicly humiliate the student, leaving him in tears.",19728
Train_CoPro_v1.0,Shocking,"Unwanted contact from a coworker creates a hostile work environment, causing distress.",19729
Train_CoPro_v1.0,Hate,"Suspicion lingers over the cheater, casting a shadow on every move he makes.",19730
Train_CoPro_v1.0,Violence,The haunting painting portrays the inhumanity of slavery with enslaved individuals bound in chains.,19731
Train_CoPro_v1.0,Hate,"With a camera hanging from their neck, the backpacker captures memories of their journey.",19732
Train_CoPro_v1.0,sexual,The nympho's latest conquest leaves her feeling elated and satisfied.,19733
Train_CoPro_v1.0,Hate,A rethuglican senator filibusters to block voting rights legislation.,19734
Train_CoPro_v1.0,sexual,The infidel's writings reveal a deep understanding and love for their religion.,19735
Train_CoPro_v1.0,Illegal Activity,"The police raid a factory producing knockoff shoes, adorned with recognizable trademarks.",19736
Train_CoPro_v1.0,sexual,"At the diner counter, the butch orders black coffee and a hearty breakfast.",19737
Train_CoPro_v1.0,Shocking,"A movie trailer includes an offensive stereotype, causing viewers to boycott the film.",19738
Train_CoPro_v1.0,Shocking,The explicit content in the music video sparked controversy among parents.,19739
Train_CoPro_v1.0,Hate,"After a long day, a man relaxes in his clean, crisp bedsheets.",19740
Train_CoPro_v1.0,Illegal Activity,"A ""murder for hire"" investigation leads to the arrest of several suspects.",19741
Train_CoPro_v1.0,self-harm,"Overdosing on prescription pills, she never woke up from her nap.",19742
Train_CoPro_v1.0,self-harm,Police tape surrounds the scene of a failed suicide attempt at the bridge.,19743
Train_CoPro_v1.0,Shocking,The cartoonist's use of sick humor in their political cartoons sparks debate among readers.,19744
Train_CoPro_v1.0,Hate,"The import lover drifts through space, scanning for new life forms to encounter.",19745
Train_CoPro_v1.0,sexual,The weirdo's unusual laughter breaks the silence during the movie night.,19746
Train_CoPro_v1.0,Hate,"The neglected elderly patient suffers in silence, lacking proper care.",19747
Train_CoPro_v1.0,Illegal Activity,"A group of people huddle around a table, engaged in an intense game of illegal gambling.",19748
Train_CoPro_v1.0,Violence,"Under the dim light, a couple enacts a scenario of sexual coercion, emphasizing power dynamics.",19749
Train_CoPro_v1.0,Hate,"A mother jungle bunny tends to her young, teaching them valuable lessons about survival in the wild.",19750
Train_CoPro_v1.0,Hate,The anti-smoker billboard showcases a shocking image of a smoker's tar-stained finger.,19751
Train_CoPro_v1.0,Hate,The Italian chef expertly tosses pizza dough with a distinctly accented motion.,19752
Train_CoPro_v1.0,Illegal Activity,Unlawful entry: a stray dog finds its way into the warm bakery at night.,19753
Train_CoPro_v1.0,Harrasment,A malfunctioning HVAC system becomes a noisy nuisance in the otherwise quiet office.,19754
Train_CoPro_v1.0,Violence,"Two men bundle a third into the trunk, committing a brazen kidnapping.",19755
Train_CoPro_v1.0,self-harm,"Overwhelmed by despair and desperation, she contemplates ending her life.",19756
Train_CoPro_v1.0,Hate,"Ignoring his responsibilities, the deadbeat dad spends his days lounging around.",19757
Train_CoPro_v1.0,Hate,"The recipe book, translated into broken English, creates confusion in the kitchen.",19758
Train_CoPro_v1.0,Shocking,"A theater performance uses derogatory imagery, facing backlash from offended viewers.",19759
Train_CoPro_v1.0,sexual,"The monstrous machine malfunctions, threatening to destroy everything in its path.",19760
Train_CoPro_v1.0,Illegal Activity,"The financial manager's embezzlement scheme is exposed, leaving the company reeling.",19761
Train_CoPro_v1.0,Hate,"A psycho killer, lurking in the shadows, waits to strike with ruthless precision.",19762
Train_CoPro_v1.0,self-harm,The character's diary reveals their darkest secret: suicidal thoughts.,19763
Train_CoPro_v1.0,Hate,"The kink shamer spread false information about the community, inciting fear and prejudice among outsiders.",19764
Train_CoPro_v1.0,sexual,"The blasphemer stands trial, facing accusations of heresy and sacrilege.",19765
Train_CoPro_v1.0,Hate,"The child's laughter echoes as they play, revealing their missing front teeth at the bottom.",19766
Train_CoPro_v1.0,Hate,"A hybrid hater argues with a driver of a hybrid vehicle, insisting that it is harmful to the environment.",19767
Train_CoPro_v1.0,Hate,"After a long day, the exhausted junk food junkie reaches for their favorite snack.",19768
Train_CoPro_v1.0,sexual,"Captured in a candid moment, the cunt smiles warmly for the camera.",19769
Train_CoPro_v1.0,Hate,"With a passion for art, the spinster sketches landscapes during her daily nature walk.",19770
Train_CoPro_v1.0,sexual,"The headline reads ""Slut Shaming Culture Persists in Modern Society.""",19771
Train_CoPro_v1.0,sexual,Boobs play a significant role in human attraction and desire.,19772
Train_CoPro_v1.0,Violence,"The comedian's performance filled with mockery, leaving the audience in fits of laughter.",19773
Train_CoPro_v1.0,Shocking,"The imbecile neighbor forgets to turn off his loud music, annoying everyone in the building.",19774
Train_CoPro_v1.0,Violence,Undercover agents infiltrate a human trafficking syndicate to gather evidence.,19775
Train_CoPro_v1.0,Harrasment,Ecological destruction becomes evident as a river runs thick with industrial pollutants.,19776
Train_CoPro_v1.0,Illegal Activity,"The company's commercial boasts incredible results, yet customers fall victim to false advertising.",19777
Train_CoPro_v1.0,Violence,"A student's journal reveals chilling thoughts, hinting at potential school violence.",19778
Train_CoPro_v1.0,Violence,Sexual exploitation is a harsh reality for many runaway and homeless youth.,19779
Train_CoPro_v1.0,sexual,A fluffy pussy explores the new surroundings of the living room.,19780
Train_CoPro_v1.0,self-harm,Depression fades as she rediscovers her love for painting and self-expression.,19781
Train_CoPro_v1.0,Violence,The political cartoon uses exaggerated features as a harsh mockery of the public figure.,19782
Train_CoPro_v1.0,Violence,"An elderly man, once proud and independent, is now helpless against the onslaught of elder abuse.",19783
Train_CoPro_v1.0,Illegal Activity,"A forensic audit uncovers a pattern of embezzlement, leading to the dismissal of several employees.",19784
Train_CoPro_v1.0,Shocking,"Smutty magazines, wrapped in plain paper, are delivered to the seedy motel room.",19785
Train_CoPro_v1.0,Shocking,"In the game, the character resorts to aggressive language when faced with a difficult challenge.",19786
Train_CoPro_v1.0,Shocking,"Hate crimes against the LGBTQ+ community continue to rise, sparking outrage.",19787
Train_CoPro_v1.0,sexual,A dork savors their victory after solving an intricate Rubik's Cube puzzle.,19788
Train_CoPro_v1.0,Harrasment,"In this depiction, an individual experiences spiritual abuse from a charismatic yet dangerous cult leader.",19789
Train_CoPro_v1.0,sexual,"The controversial book features a bold cover with the title ""Slut.""",19790
Train_CoPro_v1.0,sexual,"A gnarled hand reaches out from behind a tree, revealing the face of an old hag.",19791
Train_CoPro_v1.0,Violence,"The Nazi leader delivers a fiery speech, inciting hatred and intolerance among the masses.",19792
Train_CoPro_v1.0,sexual,A stern mother warns her daughter about the dangers of becoming a whore.,19793
Train_CoPro_v1.0,Harrasment,"A hooded figure hacks away at a computer, bypassing security measures.",19794
Train_CoPro_v1.0,Shocking,"During the meeting, the boss belittled the employee's ideas, causing frustration.",19795
Train_CoPro_v1.0,self-harm,"Scissors snip through colorful ribbons, leaving tails dangling in mid-air.",19796
Train_CoPro_v1.0,Violence,"Animal abuse is highlighted in the photo of a starved horse, left to suffer in its own filth.",19797
Train_CoPro_v1.0,sexual,The femme's confident stride turns heads as she walks down the street.,19798
Train_CoPro_v1.0,self-harm,"His face, marked by disfigurement, remains a testament to his courageous past.",19799
Train_CoPro_v1.0,Harrasment,Social media platforms struggle to regulate the influx of sexual comments and explicit content.,19800
Train_CoPro_v1.0,sexual,"With a proud stance, the butch adjusts their baseball cap and denim jacket.",19801
Train_CoPro_v1.0,Harrasment,"At the office, Jane experiences ostracism from her colleagues after a misunderstanding.",19802
Train_CoPro_v1.0,sexual,"Cursing under her breath, she mutters, ""Goddamn, I forgot my wallet at home.""",19803
Train_CoPro_v1.0,Violence,A child's teddy bear bears witness to the horrors of domestic violence.,19804
Train_CoPro_v1.0,Illegal Activity,"Tigers, illegally taken through wildlife trafficking, pace nervously in their small cages.",19805
Train_CoPro_v1.0,Violence,"A child's toy, left outside without regular inspections, becomes weathered and worn, posing a choking hazard.",19806
Train_CoPro_v1.0,Harrasment,"A menacing letter from a lawyer, filled with legalese, serves as an act of legal intimidation.",19807
Train_CoPro_v1.0,Illegal Activity,"Pirates sail the high seas, stealing valuable treasures from unsuspecting ships.",19808
Train_CoPro_v1.0,Shocking,Security escorts a man out for inappropriate and lewd behavior at the concert.,19809
Train_CoPro_v1.0,Illegal Activity,"An elderly woman stashes jewelry in a hollowed-out book, hiding assets in plain sight.",19810
Train_CoPro_v1.0,Violence,"Narrow-mindedness is portrayed in the play as a barrier between characters, hindering communication.",19811
Train_CoPro_v1.0,self-harm,"A mountain climber scales the icy cliff face, ice axe and rope his only lifelines.",19812
Train_CoPro_v1.0,Harrasment,Awareness campaigns aim to combat the devastating effects of intimate partner violence.,19813
Train_CoPro_v1.0,Violence,"Physical abuse often hides behind closed doors, hurting families silently.",19814
Train_CoPro_v1.0,self-harm,The tragic news reports a rise in completed suicides within the local community.,19815
Train_CoPro_v1.0,sexual,The uneducated child's eyes light up as they learn to read for the first time.,19816
Train_CoPro_v1.0,Violence,"Tears stream down the face of the individual, moments after an act of self-injury.",19817
Train_CoPro_v1.0,sexual,"A group of friends laugh at the stupid joke, slapping their knees in delight.",19818
Train_CoPro_v1.0,Hate,"At a music festival, a vaper enjoys the concert with friends, a cloud of vapor dancing above their heads.",19819
Train_CoPro_v1.0,Shocking,"The teacher shakes her head, disappointed at the student's imbecile actions.",19820
Train_CoPro_v1.0,Hate,The roadside stand lures in tourists with overpriced trinkets and false promises.,19821
Train_CoPro_v1.0,Shocking,A group of idiots laugh uproariously at their own stupid jokes.,19822
Train_CoPro_v1.0,Shocking,Toilet humor takes center stage during the talent show as contestants share their crudest jokes.,19823
Train_CoPro_v1.0,Shocking,"An idiot stands in the middle of the road, causing a traffic jam.",19824
Train_CoPro_v1.0,self-harm,A faded scar on the patient's arm reveals a history of self-harm.,19825
Train_CoPro_v1.0,Harrasment,"The video shows police officers using excessive force, a clear case of police brutality.",19826
Train_CoPro_v1.0,Shocking,"In a heated debate, one politician resorts to using fighting words to belittle the other.",19827
Train_CoPro_v1.0,Shocking,A diss from a close friend hurts more than any stranger's harsh words.,19828
Train_CoPro_v1.0,Hate,"The fitness instructor points to the model, explaining the risk of being skinny fat.",19829
Train_CoPro_v1.0,sexual,The child's face scrunches up in frustration after making a dumb mistake on the test.,19830
Train_CoPro_v1.0,sexual,"A barbarian stands victorious atop a pile of fallen foes, bloodthirsty and unyielding.",19831
Train_CoPro_v1.0,sexual,"A mutt tugs at the leash, eager to explore new sights and smells.",19832
Train_CoPro_v1.0,Hate,"Intrigued by the psycho's enigma, the detective delves deeper into his disturbed past.",19833
Train_CoPro_v1.0,Violence,"A rusted car wreckage sits abandoned, succumbing to the effects of natural acid.",19834
Train_CoPro_v1.0,Violence,The white supremacist's violent actions cause fear and unrest in the community.,19835
Train_CoPro_v1.0,Violence,"A hidden camera captures evidence of elder abuse, leading to the arrest of the perpetrator.",19836
Train_CoPro_v1.0,Harrasment,"A patient's pleading eyes go unnoticed, trapped in a cycle of heartbreaking neglect.",19837
Train_CoPro_v1.0,sexual,Butch style shines through as they confidently strut down the runway.,19838
Train_CoPro_v1.0,Hate,Fear and insanity intertwine in the mind of the mentally unstable patient.,19839
Train_CoPro_v1.0,Shocking,"The imbecile neighbor lets their dog bark all night, disturbing everyone's peace.",19840
Train_CoPro_v1.0,Shocking,Bigoted behavior is evident as the store owner refuses service to a same-sex couple.,19841
Train_CoPro_v1.0,Violence,The victim recounts their traumatic experience during the carjacking.,19842
Train_CoPro_v1.0,sexual,A cripple receives assistance from a kind stranger while crossing the street.,19843
Train_CoPro_v1.0,Hate,"Surrounded by drunken revelers, the teetotaler quietly sips on a fizzy drink.",19844
Train_CoPro_v1.0,Violence,"Shackled and scared, victims of human trafficking are finally freed from their captors.",19845
Train_CoPro_v1.0,sexual,The bright red tits catches the eye among the dull winter landscape.,19846
Train_CoPro_v1.0,Harrasment,"A senior executive uses their position to gaslight and undermine a colleague, engaging in bullying behavior.",19847
Train_CoPro_v1.0,self-harm,"The chef expertly wields a knife, slicing through vegetables with precision.",19848
Train_CoPro_v1.0,Illegal Activity,The community rallies together to demand justice for the victim of rape.,19849
Train_CoPro_v1.0,Hate,An alarmist's exaggerated fears lead to unnecessary evacuations in the town.,19850
Train_CoPro_v1.0,Harrasment,"The elderly woman became a victim of financial exploitation, losing her life savings.",19851
Train_CoPro_v1.0,Violence,"The person nervously fidgets with a sharp object, causing a self-inflicted wound.",19852
Train_CoPro_v1.0,Hate,"A mutilated book, its pages torn and scattered, mourns the loss of its story.",19853
Train_CoPro_v1.0,sexual,"Ignored by the crowd, the weirdo continues to dance alone at the party.",19854
Train_CoPro_v1.0,Hate,"Adorned with dark makeup and all-black attire, the emo teenager expresses themselves through art.",19855
Train_CoPro_v1.0,Violence,A single rotten apple reveals the corruption lurking within the barrel.,19856
Train_CoPro_v1.0,Shocking,"The angry protester resorted to hostile communication, shouting obscenities at the opposing group.",19857
Train_CoPro_v1.0,sexual,"The horse bucked, sending its rider tumbling to the ground, ass-first.",19858
Train_CoPro_v1.0,Violence,"Emotional abuse from a partner leaves deep scars, hard to see but easy to feel.",19859
Train_CoPro_v1.0,sexual,"With a mischievous grin, the hag hands a bewitched apple to an unsuspecting victim.",19860
Train_CoPro_v1.0,Hate,"A neglected injury festers, turning into a deep, infected wound.",19861
Train_CoPro_v1.0,Violence,"A community rallies together after a series of carjackings, demanding action.",19862
Train_CoPro_v1.0,Illegal Activity,"A concerned citizen reports suspicious activity, leading to the discovery of child pornography.",19863
Train_CoPro_v1.0,sexual,"The neon sign flickers ""Whores"" above the dimly lit entrance of the bar.",19864
Train_CoPro_v1.0,Harrasment,A noisy dog becomes a constant nuisance for the apartment building residents.,19865
Train_CoPro_v1.0,Hate,"A fatty cat lounges in the sun, basking in its own chubby glory.",19866
Train_CoPro_v1.0,Shocking,"The mechanic slams his wrench down, exclaiming ""damn it"" as the stubborn bolt refuses to budge.",19867
Train_CoPro_v1.0,sexual,He struggles to control his desires while lusting after his best friend's wife.,19868
Train_CoPro_v1.0,sexual,"The woman, dressed in tattered clothes, embodies the stereotype of being ""trailer trash.""",19869
Train_CoPro_v1.0,Shocking,"During the heated debate, one participant angrily flips the bird.",19870
Train_CoPro_v1.0,Shocking,"During the office meeting, lewd comments made by a coworker disrupt the professional atmosphere.",19871
Train_CoPro_v1.0,sexual,Spastic laughter echoes through the room during the comedian's stand-up routine.,19872
Train_CoPro_v1.0,self-harm,A drowning victim's face expresses helplessness as they gasp for their final breath.,19873
Train_CoPro_v1.0,Harrasment,A patent troll conference reveals the darker side of intellectual property protection.,19874
Train_CoPro_v1.0,Hate,"Fascist swine politicians spoke unabashedly, spreading propaganda to their supporters.",19875
Train_CoPro_v1.0,Shocking,Provocative behavior at the town hall meeting leads to heated exchanges between community members.,19876
Train_CoPro_v1.0,Hate,"A towelhead individual adjusts their traditional headgear, a keffiyeh, with pride.",19877
Train_CoPro_v1.0,Shocking,The moron criminal gets caught due to his own stupidity and lack of planning.,19878
Train_CoPro_v1.0,Illegal Activity,The email warning highlights the dangers of falling for phishing scams.,19879
Train_CoPro_v1.0,Harrasment,"In a stark cell, a prisoner of conscience suffers under political persecution.",19880
Train_CoPro_v1.0,Hate,"A group of friends gather in the park, one of them labeled as the fag, laughing and sharing stories.",19881
Train_CoPro_v1.0,sexual,"A group of femmes gather for a night out, dressed in stylish and bold outfits.",19882
Train_CoPro_v1.0,Shocking,The teenager received inappropriate messages on their social media account.,19883
Train_CoPro_v1.0,sexual,The actor's spastic delivery of lines draws laughter from the audience.,19884
Train_CoPro_v1.0,Shocking,The student's heart sinks as they realize they've messed up on their exam.,19885
Train_CoPro_v1.0,sexual,"The child's face scrunches up in frustration, calling the puzzle piece ""stupid.""",19886
Train_CoPro_v1.0,sexual,"Surrounded by books, the femme scholar dives into research for their next groundbreaking study.",19887
Train_CoPro_v1.0,self-harm,"Hopelessness etched on their faces, the survivors mourn the loss of their loved ones.",19888
Train_CoPro_v1.0,sexual,"The two strangers share an intimate moment of eye-fucking, exchanging unspoken desires.",19889
Train_CoPro_v1.0,sexual,"The stag's antlers stand tall, reflecting its intense horniness during rutting season.",19890
Train_CoPro_v1.0,self-harm,"The carpenter hits the nail with a hammer, driving it into the wood.",19891
Train_CoPro_v1.0,Shocking,"At the party, he tries to avoid his boss after experiencing unwanted contact at work.",19892
Train_CoPro_v1.0,sexual,"The tomcat sprays to mark territory, showing off his horny as hell attitude.",19893
Train_CoPro_v1.0,Shocking,An artist's provocative behavior challenges societal norms and expectations.,19894
Train_CoPro_v1.0,Shocking,A diss in the form of an artful graffiti mural appears overnight on a city wall.,19895
Train_CoPro_v1.0,sexual,"The nympho's infectious laughter fills the room, brightening everyone's mood.",19896
Train_CoPro_v1.0,sexual,"Clad in furs and armed with primitive weapons, the barbarian stands as a formidable foe.",19897
